has_know_more_link,phase2_ready,state,state_id,district,district_id,extraction_date,udise_code,school_name,know_more_link,email,operational_status,school_category,school_management,school_type,school_location,address,pin_code,detail_school_name,source_url,extraction_timestamp,academic_year,location,class_from,class_to,class_range,year_of_establishment,affiliation_board_sec,affiliation_board_hsec,total_students,total_boys,total_girls,total_teachers,male_teachers,female_teachers,extraction_status,critical_fields_extracted
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.027668,,"ANANDA MARGA, BHATHUBASTHI",https://kys.udiseplus.gov.in/#/schooldetail/5300372/12,ampsbhatubasti11@gmail.com,,1-Primary,5-Private Unaided (Recognized),3-Co-educational,2-Urban,"Bhatu Basti , Port Blair, South Andaman",744105,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300372/12,2025-08-07T00:52:47.838346,N/A,2-Urban,N/A,N/A,N/A,N/A,N/A,N/A,18,12,6,4,4,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.070187,,"ANANDA MARGA, CHOULDARI",https://kys.udiseplus.gov.in/#/schooldetail/5300339/12,,,1-Primary,5-Private Unaided (Recognized),3-Co-educational,1-Rural,"Nimbu Bagicha, chouldari, Port Blair, South Andaman",744103,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300339/12,2025-08-07T00:52:54.820549,N/A,1-Rural,N/A,N/A,N/A,N/A,N/A,N/A,26,13,13,5,5,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.110124,,ANANDA MARGA MIDDLE SCHOOL JUNGLIGHAT,https://kys.udiseplus.gov.in/#/schooldetail/5300379/12,anandamargaschool1966@gmail.com,,6-Pr. Up Pr. and Secondary Only,5-Private Unaided (Recognized),3-Co-educational,2-Urban,"Anandamarga Road, Junglighat, Port Blair South Andaman",744103,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300379/12,2025-08-07T00:53:01.942593,N/A,2-Urban,N/A,N/A,N/A,N/A,1-CBSE,N/A,65,41,24,15,10,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.177154,,ANANDA MARGA PRIMARY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/5300308/12,,,1-Primary,5-Private Unaided (Recognized),3-Co-educational,1-Rural,ANANDA MARGA PRIMARY SCHOOL MANGLUTAN,744103,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300308/12,2025-08-07T00:53:09.419687,N/A,1-Rural,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,3,2,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.221897,,ANANDA MARGA SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/5300352/12,anandamargaschool0212@gmail.com,,1-Primary,5-Private Unaided (Recognized),3-Co-educational,1-Rural,"Ram Krishna Pur, Little Andaman",744207,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300352/12,2025-08-07T00:53:16.543404,N/A,1-Rural,N/A,N/A,N/A,N/A,N/A,N/A,97,50,47,10,10,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.262614,,ARMY PUBLIC SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/5300320/12,apsbrichgunj@awesindia.edu.in,,2-Primary with Upper Primary,5-Private Unaided (Recognized),3-Co-educational,2-Urban,"Mil Stn HQ, Brichgunj",744103,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300320/12,2025-08-07T00:53:23.480636,N/A,2-Urban,N/A,N/A,N/A,N/A,N/A,N/A,189,108,81,20,15,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.303701,,BEHRUL-ULOOM MODERN,https://kys.udiseplus.gov.in/#/schooldetail/5300322/12,baharululoommodernschool@gmail.com,,1-Primary,5-Private Unaided (Recognized),3-Co-educational,1-Rural,BAHARUL ULOOM MODERN SCHOOL English Medium,744105,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300322/12,2025-08-07T00:53:30.409079,N/A,1-Rural,N/A,N/A,N/A,N/A,N/A,N/A,46,29,17,8,8,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.344590,,CARMEL SENIOR SECONDARY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/5300393/12,carmelportblair682@gmail.com,,3-Pr. with Up.Pr. Sec. and H.Sec.,5-Private Unaided (Recognized),3-Co-educational,2-Urban,"Phoenix Bay,Haddo Post",744101,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300393/12,2025-08-07T00:53:37.181303,N/A,2-Urban,N/A,N/A,N/A,N/A,1-CBSE,1-CBSE,1744,915,829,80,68,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.389059,,CRESCENT PUBLIC SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/5300075/12,cpsandaman@gmail.com,,3-Pr. with Up.Pr. Sec. and H.Sec.,5-Private Unaided (Recognized),3-Co-educational,1-Rural,"WIMBERLY GUNJ PO, SOUTH ANDAMAN - 744206",744206,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300075/12,2025-08-07T00:53:44.600475,N/A,1-Rural,N/A,N/A,N/A,N/A,1-CBSE,1-CBSE,678,330,348,44,39,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.430208,,DAR AL ARQAM  PUBLIC SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/5300429/12,dapsandaman111@gmail.com,,1-Primary,5-Private Unaided (Recognized),3-Co-educational,1-Rural,STEWART GUNJ SOUTH ANDAMAN -PIN 744107,744107,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300429/12,2025-08-07T00:53:53.435649,N/A,1-Rural,N/A,N/A,N/A,N/A,N/A,N/A,38,18,20,13,13,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.471840,,DEEPAK NURSERY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/5300079/12,,,N/A,5-Private Unaided (Recognized),N/A,9-NA,,744206,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300079/12,2025-08-07T00:54:00.301036,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.510521,,DEEPAK NURSERY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/5300381/12,deepaknurseryschool2020@gmail.com,,N/A,5-Private Unaided (Recognized),N/A,2-Urban,DEEPAK NURSERY SCHOOL JUNGLIGHAT,744103,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300381/12,2025-08-07T00:54:07.449552,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.549267,,DON BOSCO SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/5300050/12,dbsandaman@gmail.com,,3-Pr. with Up.Pr. Sec. and H.Sec.,5-Private Unaided (Recognized),3-Co-educational,1-Rural,"Don Bosco School, Lalpahar, Chouldari, South Andaman - 744103",744103,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300050/12,2025-08-07T00:54:14.813062,N/A,1-Rural,N/A,N/A,N/A,N/A,3-ICSE,3-ICSE,328,161,167,24,20,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.592488,,DWEEP PUNJ S V,https://kys.udiseplus.gov.in/#/schooldetail/5300371/12,dpsvgaracharma@gmail.com,,1-Primary,5-Private Unaided (Recognized),3-Co-educational,2-Urban,"Garacharma, Port Blair, South Andaman",744105,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300371/12,2025-08-07T00:54:21.979639,N/A,2-Urban,N/A,N/A,N/A,N/A,N/A,N/A,31,19,12,6,5,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.636131,,GOVT BOYS SENIOR SECONDARY SCHOOL MIDDLE POINT,https://kys.udiseplus.gov.in/#/schooldetail/5300392/12,gbsssprincipal@gmail.com,,10-Secondary with Higher Secondary,1-Department of Education,3-Co-educational,2-Urban,"GBSSS, MIDDLE POINT, PORT BLAIR",744101,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300392/12,2025-08-07T00:54:28.879009,N/A,2-Urban,N/A,N/A,N/A,N/A,1-CBSE,1-CBSE,569,344,225,52,24,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.690510,,GOVT GIRLS SENIOR SECONDARY SCHOOL,https://kys.udiseplus.gov.in/#/schooldetail/5300400/12,ggsssportblair@gmail.com,,3-Pr. with Up.Pr. Sec. and H.Sec.,1-Department of Education,2-Girls,2-Urban,opposite JNRM COLLEGE,744104,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300400/12,2025-08-07T00:54:35.910880,N/A,2-Urban,N/A,N/A,N/A,N/A,1-CBSE,1-CBSE,534,0,534,51,51,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.737350,,GOVT MIDDLE SCHOOL ABERDEEN (HINDI),https://kys.udiseplus.gov.in/#/schooldetail/5300387/12,gmsaberdeenhindi@gmail.com,,2-Primary with Upper Primary,1-Department of Education,3-Co-educational,2-Urban,GMS ABERDEEN Gurudwara line Port Blair,744101,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300387/12,2025-08-07T00:54:42.714578,N/A,2-Urban,N/A,N/A,N/A,N/A,N/A,N/A,21,15,6,13,11,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.778754,,GOVT MIDDLE SCHOOL BAMBOOFLAT,https://kys.udiseplus.gov.in/#/schooldetail/5300087/12,gmsbf1948@gmail.com,,2-Primary with Upper Primary,1-Department of Education,3-Co-educational,1-Rural,"Tapubasti , Bambooflat",744107,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300087/12,2025-08-07T00:54:49.836690,N/A,1-Rural,N/A,N/A,N/A,N/A,N/A,N/A,41,25,16,14,11,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.819628,,GOVT MIDDLE SCHOOL BEODNABAD,https://kys.udiseplus.gov.in/#/schooldetail/5300311/12,gmsbeodnabad@gmail.com,,2-Primary with Upper Primary,1-Department of Education,3-Co-educational,1-Rural,"BEODNABAD,PORT BLAIR",744105,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300311/12,2025-08-07T00:54:56.912465,N/A,1-Rural,N/A,N/A,N/A,N/A,N/A,N/A,54,25,29,8,8,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.859920,,GOVT MIDDLE SCHOOL BRICHGUNJ,https://kys.udiseplus.gov.in/#/schooldetail/5300365/12,gmsbrichgunj1957@gmail.com,,2-Primary with Upper Primary,1-Department of Education,3-Co-educational,2-Urban,BRICHGUNJ SOUTH ANDAMAN,744103,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300365/12,2025-08-07T00:55:04.875052,N/A,2-Urban,N/A,N/A,N/A,N/A,N/A,N/A,64,29,35,16,15,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.902954,,GOVT MIDDLE SCHOOL CARBYNS COVE,https://kys.udiseplus.gov.in/#/schooldetail/5300410/12,gmscarbynscove@gmail.com,,2-Primary with Upper Primary,1-Department of Education,3-Co-educational,2-Urban,BROOKSHABAD SOUTH ANDAMAN,744112,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300410/12,2025-08-07T00:55:11.897491,N/A,2-Urban,N/A,N/A,N/A,N/A,N/A,N/A,144,76,68,20,14,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.944770,,GOVT MIDDLE SCHOOL CHOULDARI,https://kys.udiseplus.gov.in/#/schooldetail/5300337/12,gmschouldari2021@gmail.com,,2-Primary with Upper Primary,1-Department of Education,3-Co-educational,1-Rural,GMS Chouldari South Andaman Port Blair,744103,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300337/12,2025-08-07T00:55:18.920374,N/A,1-Rural,N/A,N/A,N/A,N/A,N/A,N/A,36,18,18,12,9,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:55.985825,,GOVT MIDDLE SCHOOL DOLLY GUNJ,https://kys.udiseplus.gov.in/#/schooldetail/5300367/12,gmsdollygunj2@gmail.com,,2-Primary with Upper Primary,1-Department of Education,3-Co-educational,2-Urban,dollygunj port blair,744103,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300367/12,2025-08-07T00:55:25.761249,N/A,2-Urban,N/A,N/A,N/A,N/A,N/A,N/A,164,89,75,23,19,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:56.025605,,GOVT MIDDLE SCHOOL  DUGNABAD,https://kys.udiseplus.gov.in/#/schooldetail/5300403/12,gmsdugnabad2020@gmail.com,,2-Primary with Upper Primary,1-Department of Education,3-Co-educational,2-Urban,DUGNABAD SOUTH ANDAMAN,744104,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300403/12,2025-08-07T00:55:32.839955,N/A,2-Urban,N/A,N/A,N/A,N/A,N/A,N/A,145,79,66,24,19,N/A,SUCCESS,2
True,True,ANDAMAN & NICOBAR ISLANDS,135,ANDAMANS,4501,2025-08-07T00:49:56.066059,,GOVT MIDDLE SCHOOL GUPTA PARA,https://kys.udiseplus.gov.in/#/schooldetail/5300306/12,gmsguptapara2020@gmail.com,,2-Primary with Upper Primary,1-Department of Education,3-Co-educational,1-Rural,"Guptapara ,Suth andaman, 744103",744103,School Details,https://kys.udiseplus.gov.in/#/schooldetail/5300306/12,2025-08-07T00:55:39.872306,N/A,1-Rural,N/A,N/A,N/A,N/A,N/A,N/A,32,20,12,12,7,N/A,SUCCESS,2
